0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:11 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:15 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:35 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1906
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:39:06 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1906
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:39:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:40:02 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:40:52 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:40:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:40:54 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:40:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:40:54 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:40:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:40:54 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:40:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:40:54 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:40:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:40:57 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:40:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:15:06:21 +0900] "GET /StudyHTML/css1230/test5.html HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [30/Dec/2022:15:07:59 +0900] "GET /StudyHTML/css1230/test5.html HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [30/Dec/2022:15:09:28 +0900] "GET /StudyHTML/css1230/test5.html HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [30/Dec/2022:15:09:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:15:09:41 +0900] "GET /StudyHTML/css1230/test5.html HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [30/Dec/2022:15:09:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:15:12:25 +0900] "GET /StudyHTML/css1230/test5.html HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [30/Dec/2022:15:12:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:15:12:55 +0900] "GET /StudyHTML/css1230/test5.html HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [30/Dec/2022:15:12:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:15:14:06 +0900] "GET /StudyHTML/css1230/test5.html HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [30/Dec/2022:15:14:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:15:14:31 +0900] "GET /StudyHTML/css1230/test5.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [30/Dec/2022:15:14:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
