0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:41:21 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_remove2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:41:21 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:41:36 +0900] "GET /StudyJSP/jsp04_session/sessionTest2.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:41:37 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_remove.jsp HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:41:39 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_remove2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:41:39 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:44:54 +0900] "GET /StudyJSP/jsp04_session/sessionTest2.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:44:56 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_set.jsp HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:45:02 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_remove.jsp HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:45:05 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_invalidate.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:45:05 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:45:58 +0900] "GET /StudyJSP/jsp04_session/sessionTest2.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:45:59 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_set.jsp HTTP/1.1" 200 740
